time,temp_air,wind_speed,relative_humidity,dewpoint,ghi,dni,dhi
1990-01-01 05:30:00+05:30,-20.81,1.0,60.83,-26.400653557162066,0.0,0.0,0.0
1990-01-01 06:30:00+05:30,-20.98,1.0,58.24,-27.037508262849887,0.0,0.0,0.0
1990-01-01 07:30:00+05:30,-21.15,1.01,55.66,-27.690378114780454,0.0,0.0,0.0
1990-01-01 08:30:00+05:30,-21.32,1.02,53.07,-28.364746865785545,224.4,465.37,140.15
1990-01-01 09:30:00+05:30,-21.49,1.02,50.48,-29.060659686891956,387.0,498.96,219.8
1990-01-01 10:30:00+05:30,-21.66,1.03,47.89,-29.78032817915384,501.75,480.09,285.05
1990-01-01 11:30:00+05:30,-21.83,1.04,45.3,-30.526323274299678,595.15,684.96,237.65
1990-01-01 12:30:00+05:30,-22.0,1.05,42.71,-31.301658090298986,599.9,729.75,204.4
1990-01-01 13:30:00+05:30,-13.01,0.83,53.95,-20.393217855633555,536.2,769.33,143.75
1990-01-01 14:30:00+05:30,-12.23,0.76,56.55,-19.112561498196023,389.75,613.46,126.85
1990-01-01 15:30:00+05:30,-12.22,0.76,56.55,-19.10314880134688,214.4,452.9,77.25
1990-01-01 16:30:00+05:30,-12.73,0.76,53.95,-20.13090777779139,37.75,112.36,21.85
1990-01-01 17:30:00+05:30,-13.96,0.76,51.3,-21.860455396059027,0.0,0.0,0.0
1990-01-01 18:30:00+05:30,-15.26,0.83,55.75,-22.12828044168253,0.0,0.0,0.0
1990-01-01 19:30:00+05:30,-16.71,0.9,55.35,-23.57349830985859,0.0,0.0,0.0
1990-01-01 20:30:00+05:30,-18.11,0.97,55.1,-24.940467218958492,0.0,0.0,0.0
1990-01-01 21:30:00+05:30,-19.57,1.03,52.3,-26.884205395363885,0.0,0.0,0.0
1990-01-01 22:30:00+05:30,-20.92,1.03,51.85,-28.240743404103153,0.0,0.0,0.0
1990-01-01 23:30:00+05:30,-22.27,1.1,53.95,-29.079741384127914,0.0,0.0,0.0
1990-01-02 00:30:00+05:30,-24.14,1.17,58.9,-29.909164190942274,0.0,0.0,0.0
1990-01-02 01:30:00+05:30,-25.32,1.17,58.65,-31.07262226963856,0.0,0.0,0.0
1990-01-02 02:30:00+05:30,-26.2,1.24,58.35,-31.960230832596697,0.0,0.0,0.0
1990-01-02 03:30:00+05:30,-26.37,1.17,55.55,-32.631165607575184,0.0,0.0,0.0
1990-01-02 04:30:00+05:30,-25.65,1.17,50.55,-32.92951005516683,0.0,0.0,0.0
1990-01-02 05:30:00+05:30,-24.72,1.17,48.25,-32.54398534916768,0.0,0.0,0.0
1990-01-02 06:30:00+05:30,-23.3,1.1,46.35,-31.644459896747346,0.0,0.0,0.0
1990-01-02 07:30:00+05:30,-23.16,1.1,46.35,-31.514890208245767,0.0,0.0,0.0
1990-01-02 08:30:00+05:30,-22.94,1.1,44.25,-31.79576171169036,226.95,547.01,128.05
1990-01-02 09:30:00+05:30,-21.78,1.03,51.55,-29.107171138780075,385.8,582.63,190.5
1990-01-02 10:30:00+05:30,-18.56,0.9,60.45,-24.33298641458107,517.35,695.12,203.25
1990-01-02 11:30:00+05:30,-15.65,0.9,63.8,-20.951866582677386,611.4,846.73,168.7
1990-01-02 12:30:00+05:30,-13.33,0.83,61.55,-19.160456962091967,612.1,860.26,144.75
1990-01-02 13:30:00+05:30,-12.09,0.83,61.8,-17.934772430411762,546.8,844.79,114.45
1990-01-02 14:30:00+05:30,-11.43,0.83,59.4,-17.77828772261123,411.65,751.42,88.15
1990-01-02 15:30:00+05:30,-11.41,0.83,59.4,-17.759368749089784,209.4,401.79,86.85
1990-01-02 16:30:00+05:30,-11.98,0.83,59.25,-18.328423989978226,39.25,112.99,23.0
1990-01-02 17:30:00+05:30,-13.1,0.76,58.9,-19.457095484324263,0.0,0.0,0.0
